Year,Nominal Price,Inflation Adjusted Price
1946,$1.63,$19.41
1947,$2.16,$22.81
1948,$2.77,$27.21
1949,$2.77,$27.47
1950,$2.77,$27.19
1951,$2.77,$25.20
1952,$2.77,$24.64
1953,$2.92,$25.72
1954,$2.99,$26.29
1955,$2.93,$25.79
1956,$2.94,$25.56
1957,$3.14,$26.38
1958,$3.00,$24.55
1959,$3.00,$24.30
1960,$2.91,$23.26
1961,$2.85,$22.51
1962,$2.85,$22.25
1963,$2.91,$22.45
1964,$3.00,$22.84
1965,$3.01,$22.54
1966,$3.10,$22.55
1967,$3.12,$22.09
1968,$3.18,$21.55
1969,$3.32,$21.38
1970,$3.39,$20.63
1971,$3.60,$21.00
1972,$3.60,$20.33
1973,$4.75,$25.06
1974,$9.35,$44.71
1975,$12.21,$53.54
1976,$13.10,$54.37
1977,$14.40,$56.08
1978,$14.95,$54.15
1979,$25.10,$80.89
1980,$37.42,$107.36
1981,$35.75,$92.97
1982,$31.83,$77.94
1983,$29.08,$68.96
1984,$28.75,$65.36
1985,$26.92,$59.09
1986,$14.44,$31.09
1987,$17.75,$36.88
1988,$14.87,$29.73
1989,$18.33,$34.90
1990,$23.19,$41.79
1991,$20.20,$35.02
1992,$19.25,$32.39
1993,$16.75,$27.39
1994,$15.66,$24.94
1995,$16.75,$25.96
1996,$20.46,$30.78
1997,$18.64,$27.43
1998,$11.91,$17.26
1999,$16.56,$23.42
2000,$27.39,$37.54
2001,$23.00,$30.68
2002,$22.81,$29.92
2003,$27.69,$35.55
2004,$37.66,$47.04
2005,$50.04,$60.44
2006,$58.30,$68.27
2007,$64.20,$72.98
2008,$91.48,$100.00
2009,$53.48,$58.75
2010,$71.21,$77.10
2011,$87.04,$91.37
2012,$86.46,$88.93
2013,$91.17,$92.40
2014,$85.60,
